Subject,Predicate,Object
https://wmts.mapama.gob.es/sig-api/ogc/features/v1/collections/agua:estado_masas_aguasub/items/estado_masas_aguasub.68,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.ogc.org/agua:estado_masas_aguasub
https://wmts.mapama.gob.es/sig-api/ogc/features/v1/collections/agua:estado_masas_aguasub/items/estado_masas_aguasub.69,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.ogc.org/agua:estado_masas_aguasub
https://wmts.mapama.gob.es/sig-api/ogc/features/v1/collections/agua:estado_masas_aguasub/items/estado_masas_aguasub.70,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.ogc.org/agua:estado_masas_aguasub
https://wmts.mapama.gob.es/sig-api/ogc/features/v1/collections/agua:estado_masas_aguasub/items/estado_masas_aguasub.71,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.ogc.org/agua:estado_masas_aguasub
https://wmts.mapama.gob.es/sig-api/ogc/features/v1/collections/agua:estado_masas_aguasub/items/estado_masas_aguasub.72,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.ogc.org/agua:estado_masas_aguasub
https://wmts.mapama.gob.es/sig-api/ogc/features/v1/collections/agua:estado_masas_aguasub/items/estado_masas_aguasub.73,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.ogc.org/agua:estado_masas_aguasub
https://wmts.mapama.gob.es/sig-api/ogc/features/v1/collections/agua:estado_masas_aguasub/items/estado_masas_aguasub.74,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.ogc.org/agua:estado_masas_aguasub
https://wmts.mapama.gob.es/sig-api/ogc/features/v1/collections/agua:estado_masas_aguasub/items/estado_masas_aguasub.75,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.ogc.org/agua:estado_masas_aguasub
https://wmts.mapama.gob.es/sig-api/ogc/features/v1/collections/agua:estado_masas_aguasub/items/estado_masas_aguasub.76,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.ogc.org/agua:estado_masas_aguasub
https://wmts.mapama.gob.es/sig-api/ogc/features/v1/collections/agua:estado_masas_aguasub/items/estado_masas_aguasub.77,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.ogc.org/agua:estado_masas_aguasub
https://wmts.mapama.gob.es/sig-api/ogc/features/v1/collections/agua:estado_masas_aguasub/items/estado_masas_aguasub.78,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.ogc.org/agua:estado_masas_aguasub
https://wmts.mapama.gob.es/sig-api/ogc/features/v1/collections/agua:estado_masas_aguasub/items/estado_masas_aguasub.79,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.ogc.org/agua:estado_masas_aguasub
https://wmts.mapama.gob.es/sig-api/ogc/features/v1/collections/agua:estado_masas_aguasub/items/estado_masas_aguasub.80,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.ogc.org/agua:estado_masas_aguasub
https://wmts.mapama.gob.es/sig-api/ogc/features/v1/collections/agua:estado_masas_aguasub/items/estado_masas_aguasub.81,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.ogc.org/agua:estado_masas_aguasub
https://wmts.mapama.gob.es/sig-api/ogc/features/v1/collections/agua:estado_masas_aguasub/items/estado_masas_aguasub.82,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.ogc.org/agua:estado_masas_aguasub
https://wmts.mapama.gob.es/sig-api/ogc/features/v1/collections/agua:estado_masas_aguasub/items/estado_masas_aguasub.83,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.ogc.org/agua:estado_masas_aguasub
https://wmts.mapama.gob.es/sig-api/ogc/features/v1/collections/agua:estado_masas_aguasub/items/estado_masas_aguasub.84,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.ogc.org/agua:estado_masas_aguasub
https://wmts.mapama.gob.es/sig-api/ogc/features/v1/collections/agua:estado_masas_aguasub/items/estado_masas_aguasub.85,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.ogc.org/agua:estado_masas_aguasub
https://wmts.mapama.gob.es/sig-api/ogc/features/v1/collections/agua:estado_masas_aguasub/items/estado_masas_aguasub.86,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.ogc.org/agua:estado_masas_aguasub
https://wmts.mapama.gob.es/sig-api/ogc/features/v1/collections/agua:estado_masas_aguasub/items/estado_masas_aguasub.87,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.ogc.org/agua:estado_masas_aguasub
https://wmts.mapama.gob.es/sig-api/ogc/features/v1/collections/agua:estado_masas_aguasub/items/estado_masas_aguasub.88,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.ogc.org/agua:estado_masas_aguasub
https://wmts.mapama.gob.es/sig-api/ogc/features/v1/collections/agua:estado_masas_aguasub/items/estado_masas_aguasub.89,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.ogc.org/agua:estado_masas_aguasub
https://wmts.mapama.gob.es/sig-api/ogc/features/v1/collections/agua:estado_masas_aguasub/items/estado_masas_aguasub.90,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.ogc.org/agua:estado_masas_aguasub
https://wmts.mapama.gob.es/sig-api/ogc/features/v1/collections/agua:estado_masas_aguasub/items/estado_masas_aguasub.91,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.ogc.org/agua:estado_masas_aguasub
https://wmts.mapama.gob.es/sig-api/ogc/features/v1/collections/agua:estado_masas_aguasub/items/estado_masas_aguasub.92,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.ogc.org/agua:estado_masas_aguasub
